code,open_date,close_date,quantity,buy_price,sell_price,gross_pnl,gross_return,holding_days
511880.XSHG,2020-01-02,2020-02-03,9900,100.106000,100.311000,2029.500000,0.002048,32
002076.XSHE,2020-02-03,2020-02-06,400,2.080000,2.220000,56.000000,0.067308,3
600889.XSHG,2020-02-03,2020-02-06,100,4.130000,4.390000,26.000000,0.062954,3
300412.XSHE,2020-02-03,2020-02-06,100,6.090000,6.720000,63.000000,0.103448,3
600889.XSHG,2020-02-03,2020-02-11,100,4.130000,4.560000,43.000000,0.104116,8
600766.XSHG,2020-02-03,2020-02-11,100,6.760000,7.450000,69.000000,0.102071,8
300412.XSHE,2020-02-03,2020-02-11,100,6.090000,7.040000,95.000000,0.155993,8
300106.XSHE,2020-02-06,2020-02-11,100,5.250000,5.690000,44.000000,0.083810,5
002076.XSHE,2020-02-03,2020-02-11,700,2.080000,2.450000,259.000000,0.177885,8
600766.XSHG,2020-02-03,2020-02-14,100,6.760000,7.660000,90.000000,0.133136,11
000679.XSHE,2020-02-06,2020-02-14,100,3.030000,3.300000,27.000000,0.089109,8
600241.XSHG,2020-02-06,2020-02-14,100,3.940000,4.070000,13.000000,0.032995,8
300412.XSHE,2020-02-03,2020-02-19,500,6.090000,8.730000,1320.000000,0.433498,16
300029.XSHE,2020-02-06,2020-02-19,900,5.330000,6.330000,900.000000,0.187617,13
300029.XSHE,2020-02-06,2020-02-21,400,5.330000,6.710000,552.000000,0.258912,15
600671.XSHG,2020-02-03,2020-02-24,1700,11.240000,12.630000,2363.000000,0.123665,21
300539.XSHE,2020-02-03,2020-02-24,3100,6.380000,7.160000,2418.000000,0.122257,21
600791.XSHG,2020-02-03,2020-02-24,6300,3.150000,3.480000,2079.000000,0.104762,21
002076.XSHE,2020-02-03,2020-02-24,8500,2.080000,2.330000,2125.000000,0.120192,21
002076.XSHE,2020-02-14,2020-02-24,600,2.230000,2.330000,60.000000,0.044843,10
002076.XSHE,2020-02-19,2020-02-24,100,2.320000,2.330000,1.000000,0.004310,5
300218.XSHE,2020-02-03,2020-02-24,2800,6.950000,7.800000,2380.000000,0.122302,21
600889.XSHG,2020-02-03,2020-02-24,4600,4.130000,4.710000,2668.000000,0.140436,21
600766.XSHG,2020-02-03,2020-02-24,2700,6.760000,8.900000,5778.000000,0.316568,21
603139.XSHG,2020-02-03,2020-02-24,1200,15.640000,17.850000,2652.000000,0.141304,21
603356.XSHG,2020-02-03,2020-02-24,1600,11.990000,13.700000,2736.000000,0.142619,21
300412.XSHE,2020-02-03,2020-02-24,2500,6.090000,7.900000,4525.000000,0.297209,21
002473.XSHE,2020-02-06,2020-02-24,100,6.860000,8.070000,121.000000,0.176385,18
300736.XSHE,2020-02-11,2020-02-24,100,9.190000,10.010000,82.000000,0.089227,13
300106.XSHE,2020-02-06,2020-02-27,3700,5.250000,5.950000,2590.000000,0.133333,21
300106.XSHE,2020-02-14,2020-02-27,100,5.470000,5.950000,48.000000,0.087751,13
300736.XSHE,2020-02-11,2020-02-27,200,9.190000,10.310000,224.000000,0.121872,16
000691.XSHE,2020-02-06,2020-03-03,400,3.500000,3.810000,124.000000,0.088571,26
300736.XSHE,2020-02-11,2020-03-03,1900,9.190000,9.640000,855.000000,0.048966,21
300736.XSHE,2020-02-14,2020-03-03,100,9.010000,9.640000,63.000000,0.069922,18
002473.XSHE,2020-02-06,2020-03-03,2800,6.860000,7.750000,2492.000000,0.129738,26
